,Talk_ID,public_url,headline,description,event,duration,published,tags,views,text,speaker_1,speaker1_occupation,speaker1_introduction,speaker1_profile,speaker_2,speaker2_occupation,speaker2_introduction,speaker2_profile
78,72,https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail,Technology's long tail,"Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous.",TED2004,0:14:18,4/27/07,"entertainment,marketing,economics,culture,business,technology",957739,"  I'd like to speak about technology trends, which is something that many of you follow — but we also follow, for related reasons. Obviously, being a technology magazine, technology trends are something that we write about and need to know about.    But also it's part of being any monthly magazine — you live in the future. And we have a long lead-time. We have to plan issues many months in advance; we have to guess at what public appetites are going to be six months, nine months down the road. So we're in the forecasting business.    We also, like a lot of companies, create a product that's based on technology trends. In this case, ours is about ideas and information, and, if we're lucky, some entertainment. But the concept's quite the same. And so we have to understand not only why tech's important, where it's going, but also, very importantly, when — the timing is everything.    And it's interesting, when you look at the predictions made during the peak of the boom in the 1990s, about e-commerce, or Internet traffic, or broadband adoption, or Internet advertising, they were all right — they were just wrong in time. Almost every one of those has come true just a few years later. But the difference of a few years on stock-market valuations is obviously extreme. And that's why timing is everything.    You've probably seen something like this before. This is the classic Gartner Hype Curve, which talks about kind of the trajectory of a technology's lifespan. And just for fun, we put a bunch of technologies on it, to show whether they were kind of rising for the first high peak, or whether they were about to crash into the trough of disillusionment, or rise back in the slope of enlightenment, etc. And this is one way to do technology forecasting: get a sense of where technology is and then anticipate the next upturn.    We tend to do any technology that we think is sufficiently important; we'll typically do it twice. Once, we want to do it first. We want to be the first to do it, for the geeks who appreciate that, we'll catch it right there at the technology-trigger. You can see in 1997, we put Linux on the cover. But then it comes back. And sufficiently big technologies are going to hit the mainstream, and they're going to burst out. And then it's time to do it again. Last year. And that's one way that we try to time technology trends.    I'd like to talk about a way of thinking about technology trends that I call my ""grand unified theory of predicting the future,"" but it's closer to a petite unified theory of predicting the future. It's based on the presumption, the observation even, that all important technologies go through four stages in their life — at least one of the four stages, sometimes all four of the stages. And at each one of these stages, can be seen as a collision — a collision with something else — for example, a critical price-line that changes both the technology and also changes its effect on the world. It's an inflection point. And these are the inflection points that tell you what the next chapter in that technology's life is going to be, and maybe how you can do something about it.    The first is the critical price. The first stage in a technology's advance is that it'll fall below a critical price. After it falls below a critical price, it will tend, if it's successful, to rise above a critical mass, a penetration. Many technologies, at that point, displace another technology, and that's another important point. And then finally, a lot of technologies commoditize. Towards the end of their life, they become nearly free.    Each one of those is an opportunity to do something about it; it's an opportunity for the technology to change. And even if you missed, you know, the first boom of Wi-Fi — you know, Wi-Fi did the critical price, it did the critical mass, but hasn't done displacement yet, and hasn't done free yet — there's still more opportunity in that.    I'd like to demonstrate what I mean by this by telling the story of the DVD, which is a technology which has done all of these. The DVD, as you know, was introduced in the mid-1990s and it was quite expensive. But you can see that by 1998, it had fallen below 400 dollars, and 400 dollars was a psychological threshold. And it started to take off. And you can see that the units started to trend up, the hidden inflection point — it was taking off.    The next thing it hit, a year later, was critical mass. In this case, 20 percent is often a good proxy for critical mass in a household. And what's interesting here is that something else took off along with it: home-theater units. Suddenly you have a DVD in the house; you've got high-quality digital video; you have a reason to have a big-screen television; you have a reason for Dolby 5.1 surround-sound. And maybe you have reasons for starting to connect them, and bring the rest of your entertainment in. What's interesting also is — note that Netflix was founded in 1999. Reed Hastings is here. He clearly saw that that was a moment, that was an inflection point that he could do something with.    The next phase it hit was displacement. You can see around 2001 it finally out-sold the VCR. And here too, you can see the implications in the world at large. Netflix was right — the Netflix model could capitalize on the DVD in a way that the video-rental stores couldn't. Among the DVD's many assets is that it's very small; you can stick it in the mailer and post it cheaply. That gave an advantage; that was an implication of the technology's rise that wasn't obvious to everybody.    And then finally, DVDs are approaching free. There's a company called Apex, a no-name Chinese firm, who has, several times in the past year, been the number-one DVD seller in America. Their average price, for last year, was 48 dollars. You're aware of the perhaps apocryphal Wal-Mart stampede over the 30-dollar DVD. But they're getting very, very cheap, and look at the interesting implication of it. As they get cheaper, the premium brands, the Sonys and such, are losing market share, and the no-names, the Apexes, are gaining them. They're being commodified, and that's what happens when things go to zero. It's a tough market out there. (Laughter)    Now they've introduced these four ways of looking at technology, these four stages of technology's life. I'd like to talk about some other technologies out there, just technologies on our radar — and I'll use this lens, these four, as a way to kind of tell you where each one of those technologies is in its development. They're not necessarily the top-10 technologies out there — they're just examples of technologies that are in each one of these periods. But I think that the implications of them approaching these crossovers, these intersections, are interesting to think about.    Start with gene sequencing. As you probably know, gene sequencing — in a large part, because it's built on computers — is falling in price at a kind of a Moore's Law-like level. It is now possible — will be possible, and if Craig Venter indeed comes today, he may tell you something about this — to sequence the human genome for 40 million dollars by the end of this year. That's as opposed to billions just a few years ago. You know, our ability to capture the tools of creation is getting closer and closer.    What's interesting is that at the same time, the number of genes that we're discovering is rising very quickly. Each one of these genes has potential diagnostic test. There will come a day when you can have hundreds of thousands of tests done, very cheaply, if you want to know. You can learn about your own mosaic.    Here's another technology that's approaching a critical price. This is a fascinating research from WHO that shows the effect of generic drugs on anti-retroviral drug compounds and cocktails. In January 2000, the price was 10,000 dollars, or 27 dollars a day. The generics came in, first in Brazil and elsewhere, and the effect was just dramatic on pricing. Today it's less than 50 cents a day. And what's interesting is if you look at the price elasticity, if you look at the correlation between these two, as the anti-retrovirals come down, the number of people you can treat goes radically up. And the Clinton Foundation and WHO believe that they can treat three million people worldwide by 2005 — two million in sub-Saharan Africa. And the falling price of drugs has a lot to do with that.    Linux is another good example. Now we've switched to critical mass. These are now technologies that are hitting critical mass. If you look here, here's Linux in red, and it's hit 20 percent. Interestingly, it's done a crossover before, but not the crossovers that matter. The crossover that's going to matter is the one with the blue. But you can look and see the direction those lines are going, you can see that at the 20 percent, it's now taken seriously. It's not just for the geeks any more. That is, I imagine, what people in Redmond wake up in the middle of the night thinking about. (Laughter)    Another technology that we see all around us out here is hybrid cars. I don't know whether anybody has a Prius 2004, but they're fantastic. And if you look at the trends here, by about 2008 — and I don't think this is a crazy forecast — they'll be two percent of auto sales. Two percent isn't 20 percent, but in the car business, which is slow moving, that's huge; that's arrival. At two percent, you start seeing them on the roads everywhere.    And what's interesting about the hybrids taking off is you've now introduced electric motors to the automobile industry. It's the first radical change in automobile technology in 100 years. And once you have electric motors, you can do anything: you can change the structure of the car in any way you want. You can have regenerative braking; you can have drive-by-wire; you can have replaceable body shapes — it's a little thing that starts with a hybrid, but it can lead to a whole new era of the car.    Voice Over IP is something you may have heard something about. Again, it's kind of coming out of nowhere; it's a little hard to use right now. There's a company created by the Kazaa founders called Skype. Look at these numbers. They launched it in August of last year; they already have nearly four million registered users — that's critical mass. And the same thing's happening on the carrier side. You're looking at IP taking over from some of the traditional telecom standards. This is a tipping point — if Malcolm's here, forgive me — and it's going to change the economics, and the speed, and the players in the industry. It's going to look a little bit like that.    And finally, free. Free is really, really interesting. Free is something that comes with digital, because the reproduction costs are essentially free. It comes with IP, because it's such an efficient protocol. It comes with fiber optics, because there's so much bandwidth. Free is really, you know, the gift of Silicon Valley to the world. It's an economic force; it's a technical force. It's a deflationary force, if not handled right. It is abundance, as opposed to scarcity. Free is probably the most interesting thing.    And here you have just the number of songs that can be stored on a hard drive. You know, there could be a film's [unclear] there, but it's basically, every song ever made could be stored on 400 dollars worth of storage by 2008. It takes that entire element, the physical element, of songs off the table. And you've seen the numbers. I mean, you know, the music industry is imploding in front of our very eyes, and Hollywood's worried as well. They're facing a force that they haven't faced before. And their response is draconian, and not necessarily the one that's going to get them out of this.    And finally, I'll give you one last example of free — perhaps the most powerful of all. I mentioned fiber optics — their abundance tends to make things free. This is the price of a phone call to India per minute. And what's interesting is that it was just 1990 when it was more than two dollars a minute. India had, still has, a regulated phone system and so did we. It was surprisingly non-innovative, moved very slowly, but then there was just so much fiber out there, you couldn't hold back, and look how quickly the price fell. It's seven cents a minute, in many cases.    And the consequence of cheap phone calling, free phone calling, to India, is the pissed-off programmer, is the outsourcing. It is probably one of the most dramatic shifts in globalization and one of the most powerful economic tools that we're seeing in our world today. The force of India, and then China, and any other country that can contact our markets and will work with our companies — because the communications are free — is just beginning to be felt. And I think that's probably one of the most important technology trends that we're looking at today. Thank you.  ",Chris Anderson,TED Curator,"After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.","Why you should listen
Chris Anderson is the Curator of TED, a nonprofit devoted to sharing valuable ideas, primarily through the medium of 'TED Talks' -- short talks that are offered free online to a global audience.Chris was born in a remote village in Pakistan in 1957. He spent his early years in India, Pakistan and Afghanistan, where his parents worked as medical missionaries, and he attended an American school in the Himalayas for his early education. After boarding school in Bath, England, he went on to Oxford University, graduating in 1978 with a degree in philosophy, politics and economics.Chris then trained as a journalist, working in newspapers and radio, including two years producing a world news service in the Seychelles Islands. Back in the UK in 1984, Chris was captivated by the personal computer revolution and became an editor at one of the UK's early computer magazines. A year later he founded Future Publishing with a $25,000 bank loan. The new company initially focused on specialist computer publications but eventually expanded into other areas such as cycling, music, video games, technology and design, doubling in size every year for seven years. In 1994, Chris moved to the United States where he built Imagine Media, publisher of Business 2.0 magazine and creator of the popular video game users website IGN. Chris eventually merged Imagine and Future, taking the combined entity public in London in 1999, under the Future name. At its peak, it published 150 magazines and websites and employed 2,000 people.This success allowed Chris to create a private nonprofit organization, the Sapling Foundation, with the hope of finding new ways to tackle tough global issues through media, technology, entrepreneurship and, most of all, ideas. In 2001, the foundation acquired the TED Conference, then an annual meeting of luminaries in the fields of Technology, Entertainment and Design held in Monterey, California, and Chris left Future to work full time on TED.He expanded the conference's remit to cover all topics, including science, business and key global issues, while adding a Fellows program, which now has some 300 alumni, and the TED Prize, which grants its recipients ""one wish to change the world."" The TED stage has become a place for thinkers and doers from all fields to share their ideas and their work, capturing imaginations, sparking conversation and encouraging discovery along the way.In 2006, TED experimented with posting some of its talks on the Internet. Their viral success encouraged Chris to begin positioning the organization as a global media initiative devoted to 'ideas worth spreading,' part of a new era of information dissemination using the power of online video. In June 2015, the organization posted its 2,000th talk online. The talks are free to view, and they have been translated into more than 100 languages with the help of volunteers from around the world. Viewership has grown to approximately one billion views per year.Continuing a strategy of 'radical openness,' in 2009 Chris introduced the TEDx initiative, allowing free licenses to local organizers who wished to organize their own TED-like events. More than 8,000 such events have been held, generating an archive of 60,000 TEDx talks. And three years later, the TED-Ed program was launched, offering free educational videos and tools to students and teachers.",,,,
144,211,https://www.ted.com/talks/chris_anderson_shares_his_vision_for_ted,TED's nonprofit transition,"Chris Anderson gave this talk in 2002, prior to taking over leadership of TED. Co-founder Richard Saul Wurman was leaving, and TED's future was in the balance. He seeks to persuade TEDsters that what was then a for-profit conference had a secure future as an idea-based nonprofit endeavor.",TED2002,0:12:55,1/30/08,"philosophy,philanthropy,global issues,culture,business,technology,community",335554,"  This is your conference, and I think you have a right to know a little bit right now, in this transition period, about this guy who's going to be looking after it for you for a bit. So, I'm just going to grab a chair here.    Two years ago at TED, I think — I've come to this conclusion — I think I may have been suffering from a strange delusion. I think that I may have believed unconsciously, then, that I was kind of a business hero. I had this company that I'd spent 15 years building. It's called Future; it was a magazine publishing company. It had recently gone public and the market said that it was apparently worth two billion dollars, a number I didn't really understand. A magazine I'd recently launched called Business 2.0 was fatter than a telephone directory, busy pumping hot air into the bubble. (Laughter) And I was the 40 percent owner of a dotcom that was about to go public and no doubt be worth billions more. And all this had come from nothing. Fifteen years earlier, I was a science journalist who people just laughed at when I said, ""I really would like to start my own computer magazine."" And 15 years later, there are 100 of them and 2,000 people on staff and it was just such heady times. The date was February 2000. I thought the little graph of my business life that kind of looked a bit like Moore's Law — ever upward and to the right — it was going to go on forever. I mean, it had to. Right? I was in for quite a surprise.    The dotcom, ironically called Snowball, was the very last consumer web company to go public the next month before NASDAQ exploded, and I entered 18 months of business hell. I watched everything that I'd built crumbling, and it looked like all this stuff was going to die and 15 years work would have come for nothing. And it was gut wrenching. It took eight years of blood, sweat and tears to reach 350 employees, something which I was very proud of in the business. February 2001 — in one day we laid off 350 people, and before the bloodshed was finished, 1,000 people had lost their jobs from my companies. I felt sick. I watched my own net worth falling by about a million dollars a day, every day, for 18 months. And worse than that, far worse than that, my sense of self-worth was kind of evaporating. I was going around with this big sign on my forehead: ""LOSER."" (Laughter) And I think what disgusts me more than anything, looking back, is how the hell did I let my personal happiness get so tied up with this business thing?    Well, in the end, we were able to save Future and Snowball, but I was, at that point, ready to move on. And to cut a long story short, here's where I came to. And the reason I'm telling this story is that I believe, from many conversations, that a lot of people in this room have been through a similar kind of rollercoaster — emotional rollercoaster — in the last couple years. This has been a big, big transition time, and I believe that this conference can play a big part for all of us in taking us forward to the next stage to whatever's next. The theme next year is re-birth.    It was at the same TED two years ago when Richard and I reached an agreement on the future of TED. And at about the same time, and I think partly because of that, I started doing something that I'd forgotten about in my business focus: I started to read again. And I discovered that while I'd been busy playing business games, there'd been this incredible revolution in so many areas of interest: cosmology to psychology to evolutionary psychology to anthropology to ... all this stuff had changed. And the way in which you could think about us as a species and us as a planet had just changed so much, and it was incredibly exciting. And what was really most exciting — and I think Richard Wurman discovered this at least 20 years before I did — was that all this stuff is connected. It's connected; it all hooks into each other.    We talk about this a lot, and I thought about trying to give an example of this. So, just one example: Madame de Gaulle, the wife of the French president, was famously asked once, ""What do you most desire?"" And she answered, ""A penis."" And when you think about it, it's very true: what we all most desire is a penis — or ""happiness"" as we say in English. (Laughter) And something ... good luck with that one in the Japanese translation room. (Laughter) (Applause)    But something as basic as happiness, which 20 years ago would have been just something for discussion in the church or mosque or synagogue, today it turns out that there's dozens of TED-like questions that you can ask about it, which are really interesting. You can ask about what causes it biochemically: neuroscience, serotonin, all that stuff. You can ask what are the psychological causes of it: nature? Nurture? Current circumstance? Turns out that the research done on that is absolutely mind-blowing. You can view it as a computing problem, an artificial intelligence problem: do you need to incorporate some sort of analog of happiness into a computer brain to make it work properly? You can view it in sort of geopolitical terms and say, why is it that a billion people on this planet are so desperately needy that they have no possibility of happiness, and whereas almost all the rest of them, regardless of how much money they have — whether it's two dollars a day or whatever — are almost equally happy on average? Or you can view it as an evolutionary psychology kind of thing: did our genes invent this as a kind of trick to get us to behave in certain ways? The ant's brain, parasitized, to make us behave in certain ways so that our genes would propagate? Are we the victims of a mass delusion? And so on, and so on.    To understand even something as important to us as happiness, you kind of have to branch off in all these different directions, and there's nowhere that I've discovered — other than TED — where you can ask that many questions in that many different directions. And so, it's the profound thing that Richard talks about: to understand anything, you just need to understand the little bits; a little bit about everything that surrounds it. And so, gradually over these three days, you start off kind of trying to figure out, ""Why am I listening to all this irrelevant stuff?"" And at the end of the four days, your brain is humming and you feel energized, alive and excited, and it's because all these different bits have been put together. It's the total brain experience, we're going to ... it's the mental equivalent of the full body massage. (Laughter) Every mental organ addressed. It really is.    Enough of the theory, Chris. Tell us what you're actually going to do, all right? So, I will. Here's the vision for TED.    Number one: do nothing. This thing ain't broke, so I ain't gonna fix it. Jeff Bezos kindly remarked to me, ""Chris, TED is a really great conference. You're going to have to fuck up really badly to make it bad."" (Laughter) So, I gave myself the job title of TED Custodian for a reason, and I will promise you right here and now that the core values that make TED special are not going to be interfered with. Truth, curiosity, diversity, no selling, no corporate bullshit, no bandwagoning, no platforms. Just the pursuit of interest, wherever it lies, across all the disciplines that are represented here. That's not going to be changed at all.    Number two: I am going to put together an incredible line up of speakers for next year. The time scale on which TED operates is just fantastic after coming out of a magazine business with monthly deadlines. There's a year to do this, and already — I hope to show you a bit later — there's 25 or so terrific speakers signed up for next year. And I'm getting fantastic help from the community; this is just such a great community. And combined, our contacts reach pretty much everyone who's interesting in the country, if not the planet. It's true.    Number three: I do want to, if I can, find a way of extending the TED experience throughout the year a little bit. And one key way that we're going to do this is to introduce this book club. Books kind of saved me in the last couple years, and that's a gift that I would like to pass on. So, when you sign up for TED2003, every six weeks you'll get a care package with a book or two and a reason why they're linked to TED. They may well be by a TED speaker, and so we can get the conversation going during the year and come back next year having had the same intellectual, emotional journey. I think it will be great.    And then, fourthly: I want to mention the Sapling Foundation, which is the new owner of TED. What Sapling's ownership means is that all of the proceeds of TED will go towards the causes that Sapling stands for. And more important, I think, the ideas that are exhibited and realized here are ideas that the foundation can use, because there's fantastic synergy. Already, just in the last few days, we've had so many people talking about stuff that they care about, that they're passionate about, that can make a difference in the world, and the idea of getting this group of people together — some of the causes that we believe in, the money that this conference can raise and the ideas — I really believe that that combination will, over time, make a difference. I'm incredibly excited about that. In fact, I don't think, overall, that I've been as excited by anything ever in my life. I'm in this for the long run, and I would be greatly honored and excited if you'll come on this journey with me.  ",Chris Anderson,TED Curator,"After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.","Why you should listen
Chris Anderson is the Curator of TED, a nonprofit devoted to sharing valuable ideas, primarily through the medium of 'TED Talks' -- short talks that are offered free online to a global audience.Chris was born in a remote village in Pakistan in 1957. He spent his early years in India, Pakistan and Afghanistan, where his parents worked as medical missionaries, and he attended an American school in the Himalayas for his early education. After boarding school in Bath, England, he went on to Oxford University, graduating in 1978 with a degree in philosophy, politics and economics.Chris then trained as a journalist, working in newspapers and radio, including two years producing a world news service in the Seychelles Islands. Back in the UK in 1984, Chris was captivated by the personal computer revolution and became an editor at one of the UK's early computer magazines. A year later he founded Future Publishing with a $25,000 bank loan. The new company initially focused on specialist computer publications but eventually expanded into other areas such as cycling, music, video games, technology and design, doubling in size every year for seven years. In 1994, Chris moved to the United States where he built Imagine Media, publisher of Business 2.0 magazine and creator of the popular video game users website IGN. Chris eventually merged Imagine and Future, taking the combined entity public in London in 1999, under the Future name. At its peak, it published 150 magazines and websites and employed 2,000 people.This success allowed Chris to create a private nonprofit organization, the Sapling Foundation, with the hope of finding new ways to tackle tough global issues through media, technology, entrepreneurship and, most of all, ideas. In 2001, the foundation acquired the TED Conference, then an annual meeting of luminaries in the fields of Technology, Entertainment and Design held in Monterey, California, and Chris left Future to work full time on TED.He expanded the conference's remit to cover all topics, including science, business and key global issues, while adding a Fellows program, which now has some 300 alumni, and the TED Prize, which grants its recipients ""one wish to change the world."" The TED stage has become a place for thinkers and doers from all fields to share their ideas and their work, capturing imaginations, sparking conversation and encouraging discovery along the way.In 2006, TED experimented with posting some of its talks on the Internet. Their viral success encouraged Chris to begin positioning the organization as a global media initiative devoted to 'ideas worth spreading,' part of a new era of information dissemination using the power of online video. In June 2015, the organization posted its 2,000th talk online. The talks are free to view, and they have been translated into more than 100 languages with the help of volunteers from around the world. Viewership has grown to approximately one billion views per year.Continuing a strategy of 'radical openness,' in 2009 Chris introduced the TEDx initiative, allowing free licenses to local organizers who wished to organize their own TED-like events. More than 8,000 such events have been held, generating an archive of 60,000 TEDx talks. And three years later, the TED-Ed program was launched, offering free educational videos and tools to students and teachers.",,,,
644,1785,https://www.ted.com/talks/michael_green_why_we_should_build_wooden_skyscrapers,Why we should build wooden skyscrapers,"Building a skyscraper? Forget about steel and concrete, says architect Michael Green, and build it out of ... wood. As he details in this intriguing talk, it's not only possible to build safe wooden structures up to 30 stories tall (and, he hopes, higher), it's necessary.",TED2013,0:12:22,7/9/13,"architecture,design,materials",1263453,"  This is my grandfather. And this is my son. My grandfather taught me to work with wood when I was a little boy, and he also taught me the idea that if you cut down a tree to turn it into something, honor that tree's life and make it as beautiful as you possibly can. My little boy reminded me that for all the technology and all the toys in the world, sometimes just a small block of wood, if you stack it up tall, actually is an incredibly inspiring thing. These are my buildings. I build all around the world out of our office in Vancouver and New York. And we build buildings of different sizes and styles and different materials, depending on where we are. But wood is the material that I love the most, and I'm going to tell you the story about wood. And part of the reason I love it is that every time people go into my buildings that are wood, I notice they react completely differently. I've never seen anybody walk into one of my buildings and hug a steel or a concrete column, but I've actually seen that happen in a wood building. I've actually seen how people touch the wood, and I think there's a reason for it. Just like snowflakes, no two pieces of wood can ever be the same anywhere on Earth. That's a wonderful thing. I like to think that wood gives Mother Nature fingerprints in our buildings. It's Mother Nature's fingerprints that make our buildings connect us to nature in the built environment. Now, I live in Vancouver, near a forest that grows to 33 stories tall. Down the coast here in California, the redwood forest grows to 40 stories tall. But the buildings that we think about in wood are only four stories tall in most places on Earth. Even building codes actually limit the ability for us to build much taller than four stories in many places, and that's true here in the United States. Now there are exceptions, but there needs to be some exceptions, and things are going to change, I'm hoping. And the reason I think that way is that today half of us live in cities, and that number is going to grow to 75 percent. Cities and density mean that our buildings are going to continue to be big, and I think there's a role for wood to play in cities. And I feel that way because three billion people in the world today, over the next 20 years, will need a new home. That's 40 percent of the world that are going to need a new building built for them in the next 20 years. Now, one in three people living in cities today actually live in a slum. That's one billion people in the world live in slums. A hundred million people in the world are homeless. The scale of the challenge for architects and for society to deal with in building is to find a solution to house these people. But the challenge is, as we move to cities, cities are built in these two materials, steel and concrete, and they're great materials. They're the materials of the last century. But they're also materials with very high energy and very high greenhouse gas emissions in their process. Steel represents about three percent of man's greenhouse gas emissions, and concrete is over five percent. So if you think about that, eight percent of our contribution to greenhouse gases today comes from those two materials alone. We don't think about it a lot, and unfortunately, we actually don't even think about buildings, I think, as much as we should. This is a U.S. statistic about the impact of greenhouse gases. Almost half of our greenhouse gases are related to the building industry, and if we look at energy, it's the same story. You'll notice that transportation's sort of second down that list, but that's the conversation we mostly hear about. And although a lot of that is about energy, it's also so much about carbon. The problem I see is that, ultimately, the clash of how we solve that problem of serving those three billion people that need a home, and climate change, are a head-on collision about to happen, or already happening. That challenge means that we have to start thinking in new ways, and I think wood is going to be part of that solution, and I'm going to tell you the story of why. As an architect, wood is the only material, big material, that I can build with that's already grown by the power of the sun. When a tree grows in the forest and gives off oxygen and soaks up carbon dioxide, and it dies and it falls to the forest floor, it gives that carbon dioxide back to the atmosphere or into the ground. If it burns in a forest fire, it's going to give that carbon back to the atmosphere as well. But if you take that wood and you put it into a building or into a piece of furniture or into that wooden toy, it actually has an amazing capacity to store the carbon and provide us with a sequestration. One cubic meter of wood will store one tonne of carbon dioxide. Now our two solutions to climate are obviously to reduce our emissions and find storage. Wood is the only major material building material I can build with that actually does both those two things. So I believe that we have an ethic that the Earth grows our food, and we need to move to an ethic in this century that the Earth should grow our homes. Now, how are we going to do that when we're urbanizing at this rate and we think about wood buildings only at four stories? We need to reduce the concrete and steel and we need to grow bigger, and what we've been working on is 30-story tall buildings made of wood. We've been engineering them with an engineer named Eric Karsh who works with me on it, and we've been doing this new work because there are new wood products out there for us to use, and we call them mass timber panels. These are panels made with young trees, small growth trees, small pieces of wood glued together to make panels that are enormous: eight feet wide, 64 feet long, and of various thicknesses. The way I describe this best, I've found, is to say that we're all used to two-by-four construction when we think about wood. That's what people jump to as a conclusion. Two-by-four construction is sort of like the little eight-dot bricks of Lego that we all played with as kids, and you can make all kinds of cool things out of Lego at that size, and out of two-by-fours. But do remember when you were a kid, and you kind of sifted through the pile in your basement, and you found that big 24-dot brick of Lego, and you were kind of like, ""Cool, this is awesome. I can build something really big, and this is going to be great."" That's the change. Mass timber panels are those 24-dot bricks. They're changing the scale of what we can do, and what we've developed is something we call FFTT, which is a Creative Commons solution to building a very flexible system of building with these large panels where we tilt up six stories at a time if we want to. This animation shows you how the building goes together in a very simple way, but these buildings are available for architects and engineers now to build on for different cultures in the world, different architectural styles and characters. In order for us to build safely, we've engineered these buildings, actually, to work in a Vancouver context, where we're a high seismic zone, even at 30 stories tall. Now obviously, every time I bring this up, people even, you know, here at the conference, say, ""Are you serious? Thirty stories? How's that going to happen?"" And there's a lot of really good questions that are asked and important questions that we spent quite a long time working on the answers to as we put together our report and the peer reviewed report. I'm just going to focus on a few of them, and let's start with fire, because I think fire is probably the first one that you're all thinking about right now. Fair enough. And the way I describe it is this. If I asked you to take a match and light it and hold up a log and try to get that log to go on fire, it doesn't happen, right? We all know that. But to build a fire, you kind of start with small pieces of wood and you work your way up, and eventually you can add the log to the fire, and when you do add the log to the fire, of course, it burns, but it burns slowly. Well, mass timber panels, these new products that we're using, are much like the log. It's hard to start them on fire, and when they do, they actually burn extraordinarily predictably, and we can use fire science in order to predict and make these buildings as safe as concrete and as safe as steel. The next big issue, deforestation. Eighteen percent of our contribution to greenhouse gas emissions worldwide is the result of deforestation. The last thing we want to do is cut down trees. Or, the last thing we want to do is cut down the wrong trees. There are models for sustainable forestry that allow us to cut trees properly, and those are the only trees appropriate to use for these kinds of systems. Now I actually think that these ideas will change the economics of deforestation. In countries with deforestation issues, we need to find a way to provide better value for the forest and actually encourage people to make money through very fast growth cycles — 10-, 12-, 15-year-old trees that make these products and allow us to build at this scale. We've calculated a 20-story building: We'll grow enough wood in North America every 13 minutes. That's how much it takes. The carbon story here is a really good one. If we built a 20-story building out of cement and concrete, the process would result in the manufacturing of that cement and 1,200 tonnes of carbon dioxide. If we did it in wood, in this solution, we'd sequester about 3,100 tonnes, for a net difference of 4,300 tonnes. That's the equivalent of about 900 cars removed from the road in one year. Think back to that three billion people that need a new home, and maybe this is a contributor to reducing. We're at the beginning of a revolution, I hope, in the way we build, because this is the first new way to build a skyscraper in probably 100 years or more. But the challenge is changing society's perception of possibility, and it's a huge challenge. The engineering is, truthfully, the easy part of this. And the way I describe it is this. The first skyscraper, technically — and the definition of a skyscraper is 10 stories tall, believe it or not — but the first skyscraper was this one in Chicago, and people were terrified to walk underneath this building. But only four years after it was built, Gustave Eiffel was building the Eiffel Tower, and as he built the Eiffel Tower, he changed the skylines of the cities of the world, changed and created a competition between places like New York City and Chicago, where developers started building bigger and bigger buildings and pushing the envelope up higher and higher with better and better engineering. We built this model in New York, actually, as a theoretical model on the campus of a technical university soon to come, and the reason we picked this site to just show you what these buildings may look like, because the exterior can change. It's really just the structure that we're talking about. The reason we picked it is because this is a technical university, and I believe that wood is the most technologically advanced material I can build with. It just happens to be that Mother Nature holds the patent, and we don't really feel comfortable with it. But that's the way it should be, nature's fingerprints in the built environment. I'm looking for this opportunity to create an Eiffel Tower moment, we call it. Buildings are starting to go up around the world. There's a building in London that's nine stories, a new building that just finished in Australia that I believe is 10 or 11. We're starting to push the height up of these wood buildings, and we're hoping, and I'm hoping, that my hometown of Vancouver actually potentially announces the world's tallest at around 20 stories in the not-so-distant future. That Eiffel Tower moment will break the ceiling, these arbitrary ceilings of height, and allow wood buildings to join the competition. And I believe the race is ultimately on. Thank you. (Applause)  ",Michael Green,Architect,Michael Green wants to solve architecture’s biggest challenge — meeting worldwide housing demand without increasing carbon emissions — by building with carbon-sequestering wood instead of concrete and steel.,"Why you should listen
Michael Green is calling for rapid systemic change in the way we build. To end the global housing and climate crises, we need to get past innovation-stifling regulations and well-meaning but misguided ideas popularized by mainstream media. His proposal: Forget steel, straw, concrete, shipping containers, and rammed earth. Use wood to erect urban skyscrapers. “When the Eiffel Tower was built, nobody thought it could be done. Now it’s a symbol of Paris,” Green told the Vancouver Sun. “Projects like it really triggered an innovation on how cities were built. Man moves by innovation and [by] aiming for the moon.” Green, whose projects range from retail boutiques and housing in North America to a sustainable community in Asia, explores the plausibility of tall wood buildings -- the costs, benefits, and engineering challenges -- in an extensive 2012 white paper. The TED Talent Search winner also teaches and mentors at the University of British Columbia’s School of Architecture and Landscape Architecture (SALA).
What others say

“Green’s Tall Wood [project] is a boon for those who are ready to dive into designing wood towers.” — Andrew Michler, Inhabitat.com, March 20, 2012",,,,
